file_size, io_size,thread_count,test_type,run_time(s),throughput_MB_per_s
268435456, 2097152, 16, Random Read, 1.22, 16849.06
268435456, 2097152, 16, Random Write, 2.41, 8500.85
268435456, 1024, 32, Sequential Read, 9.42, 4349.75
268435456, 1024, 32, Sequential Write, 67.44, 607.38
268435456, 1024, 32, Random Read, 11.98, 3419.91
268435456, 1024, 32, Random Write, 201.70, 203.08
268435456, 2048, 32, Sequential Read, 1.21, 33944.96
268435456, 2048, 32, Sequential Write, 34.50, 1187.24
268435456, 2048, 32, Random Read, 6.03, 6795.74
268435456, 2048, 32, Random Write, 65.33, 627.01
268435456, 4096, 32, Sequential Read, 1.18, 34604.24
268435456, 4096, 32, Sequential Write, 43.09, 950.53
268435456, 4096, 32, Random Read, 3.08, 13315.97
268435456, 4096, 32, Random Write, 39.85, 1027.93
268435456, 8192, 32, Sequential Read, 1.16, 35294.59
268435456, 8192, 32, Sequential Write, 31.68, 1292.79
268435456, 8192, 32, Random Read, 1.60, 25678.52
268435456, 8192, 32, Random Write, 27.91, 1467.73
268435456, 2097152, 32, Sequential Read, 2.46, 16663.82
268435456, 2097152, 32, Sequential Write, 27.22, 1504.60
268435456, 2097152, 32, Random Read, 2.44, 16756.52
268435456, 2097152, 32, Random Write, 28.39, 1442.72
268435456, 1024, 64, Sequential Read, 8.00, 10241.09
268435456, 1024, 64, Sequential Write, 248.47, 329.69
268435456, 1024, 64, Random Read, 25.81, 3173.60
268435456, 1024, 64, Random Write, 856.53, 95.64
268435456, 2048, 64, Sequential Read, 2.21, 37036.94
268435456, 2048, 64, Sequential Write, 214.41, 382.07
268435456, 2048, 64, Random Read, 12.26, 6679.95
268435456, 2048, 64, Random Write, 427.08, 191.81
268435456, 4096, 64, Sequential Read, 2.23, 36691.78
268435456, 4096, 64, Sequential Write, 218.09, 375.62
268435456, 4096, 64, Random Read, 6.18, 13263.52
268435456, 4096, 64, Random Write, 201.22, 407.12
268435456, 8192, 64, Sequential Read, 2.16, 37864.71
268435456, 8192, 64, Sequential Write, 214.84, 381.31
268435456, 8192, 64, Random Read, 3.12, 26275.60
268435456, 8192, 64, Random Write, 181.97, 450.17
268435456, 2097152, 64, Sequential Read, 5.07, 16148.11
268435456, 2097152, 64, Sequential Write, 213.70, 383.34
268435456, 2097152, 64, Random Read, 5.25, 15616.42
268435456, 2097152, 64, Random Write, 168.14, 487.21
